Player,Score,Percent_Positive,Total_Comments,Positive,Neutral,Negative,Rk,AV,Round,Pick,DrftYr,College,From,To,Age,G,GS,AV.1,Pos,Team,-9999
Myles Garrett,82.21448391675949,0.2765957446808511,188,52,98,38,6,68.0,1,1,2017,Texas A&M,2017,2023,22-28,95,92,68.0,LDE,CLE,GarrMy00
Mitchell Trubisky,-1.2024941444396973,0.09929078014184398,141,14,78,49,55,39.0,1,2,2017,North Carolina,2017,2023,23-29,66,55,39.0,QB,BUFCHIPIT,TrubMi00
Solomon Thomas,87.05228585004807,0.21304347826086956,230,49,128,53,274,18.0,1,3,2017,Stanford,2017,2023,22-28,93,30,18.0,RDE,LVRNYJSFO,ThomSo00
Leonard Fournette,130.60218170285225,0.34513274336283184,226,78,106,42,41,42.0,1,4,2017,Louisiana State,2017,2022,22-27,79,61,42.0,RB,JAXTAM,FourLe00
Corey Davis,51.446457386016846,0.1506849315068493,219,33,128,58,75,34.0,1,5,2017,Western Michigan,2017,2022,22-27,78,67,34.0,WR,NYJTEN,DaviCo03
Jamal Adams,51.375602543354034,0.2631578947368421,228,60,98,70,34,45.0,1,6,2017,Louisiana State,2017,2023,22-28,78,78,45.0,SS,NYJSEA,AdamJa00
Mike Williams,58.96509447693825,0.14893617021276595,235,35,141,59,56,39.0,1,7,2017,Clemson,2017,2023,23-29,88,62,39.0,WR,LAC,WillMi07
Christian McCaffrey,13.799955487251282,0.1694915254237288,118,20,60,38,8,63.0,1,8,2017,Stanford,2017,2023,21-27,86,79,63.0,RB,CARSFO,McCaCh01
John Ross,41.03813174366951,0.09163346613545817,251,23,159,69,600,7.0,1,9,2017,Washington,2017,2021,22-26,37,21,7.0,WR,CINNYG,RossJo00
Patrick Mahomes II,40.997663110494614,0.2204724409448819,127,28,66,33,1,94.0,1,10,2017,Texas Tech,2017,2023,22-28,91,91,94.0,QB,KAN,MahoPa00
Marshon Lattimore,86.44009232521057,0.3,210,63,97,50,46,41.0,1,11,2017,Ohio State,2017,2023,21-27,90,90,41.0,RCB,NOR,LattMa01
Deshaun Watson,81.2400181889534,0.31690140845070425,142,45,70,27,12,59.0,1,12,2017,Clemson,2017,2023,22-28,66,65,59.0,QB,CLEHOU,WatsDe00
Haason Reddick,50.11253744363785,0.25203252032520324,123,31,64,28,51,40.0,1,13,2017,Temple,2017,2023,23-29,108,75,40.0,RLB,ARICARPHI,ReddHa00
Derek Barnett,56.98392355442047,0.16455696202531644,158,26,97,35,162,24.0,1,14,2017,Tennessee,2017,2023,21-27,73,45,24.0,LDE,PHI,BarnDe01
Malik Hooker,69.41704270243645,0.2721518987341772,158,43,81,34,247,19.0,1,15,2017,Ohio State,2017,2023,21-27,78,55,19.0,S,DALIND,HookMa00
Marlon Humphrey,85.24688535928726,0.25443786982248523,169,43,91,35,24,50.0,1,16,2017,Alabama,2017,2023,21-27,96,78,50.0,CB,BAL,HumpMa00
Jonathan Allen,9.437484323978424,0.15422885572139303,201,31,101,69,28,48.0,1,17,2017,Alabama,2017,2023,22-28,97,97,48.0,RDT,WAS,AlleJo01
Adoree Jackson,71.16148829460144,0.2714285714285714,140,38,76,26,169,24.0,1,18,2017,Southern California,2017,2023,22-28,78,72,24.0,LCB,NYGTEN,JackAd00
O.J. Howard,15.082690358161926,0.20430107526881722,186,38,85,63,354,14.0,1,19,2017,Alabama,2017,2022,23-28,72,56,14.0,TE,HOUTAM,HowaO.00
Garett Bolles,28.552778214216232,0.18055555555555555,216,39,109,68,57,38.0,1,20,2017,Utah,2017,2023,25-31,93,93,38.0,LT,DEN,BollGa00
Jarrad Davis,44.22015431523323,0.16176470588235295,136,22,82,32,179,23.0,1,21,2017,Florida,2017,2022,23-28,68,51,23.0,MLB,DETNYGNYJ,DaviJa01
Charles Harris,22.82522651553154,0.11428571428571428,140,16,83,41,330,15.0,1,22,2017,Missouri,2017,2023,22-28,87,30,15.0,DE,ATLDETMIA,HarrCh03
Evan Engram,42.55440381169319,0.12,150,18,95,37,119,29.0,1,23,2017,Ole Miss,2017,2023,23-29,93,75,29.0,TE,JAXNYG,EngrEv00
